CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
33173;86.0;195.0;19610.0;;;;;;;;;;;;;;;;;;;;;;;;
33174;463.0;1089.0;21090.0;;;;;;;;;;;;;;;;;;;;;;;;
33175;293.0;737.0;18240.0;;;;;;;;;;;;;;;;;;;;;;;;
33176;147.0;347.0;23250.0;;;;;;;;;;;;;;;;;;;;;;;;
33177;1040.0;2358.0;19790.0;46.0;15.0;;;;;;;;;58.5;46.8;4.0;7.7;40.6;11.0;4.6;1.9;1.7;1.0;-14.7;11540.0;32260.0;2.8
33178;164.0;372.0;19010.0;;;;;;;;;;;;;;;;;;;;;;;;
33179;1296.0;3096.0;20480.0;50.0;10.0;;;;;;;;;71.6;63.2;3.5;4.9;30.2;8.0;4.9;2.2;1.7;1.0;-14.7;12720.0;33500.0;2.6
33180;80.0;192.0;18050.0;;;;;;;;;;;;;;;;;;;;;;;;
33181;115.0;287.0;21370.0;;;;;;;;;;;;;;;;;;;;;;;;
33182;350.0;751.0;21690.0;;;;;;;;;;;;;;;;;;;;;;;;
33183;476.0;1310.0;20720.0;;;;;;;;;;;;;;;;;;;;;;;;
33184;237.0;589.0;19400.0;;;;;;;;;;;;;;;;;;;;;;;;
33185;792.0;2044.0;22550.0;58.0;;;;;;;;;;81.1;70.7;3.8;6.6;21.3;9.0;4.2;2.1;1.4;0.7;-15.6;12950.0;37370.0;2.9
33186;357.0;748.0;17980.0;;;;;;;;;;;;;;;;;;;;;;;;
33187;575.0;1294.0;17620.0;;;;;;;;;;;;;;;;;;;;;;;;
33188;79.0;186.0;19030.0;;;;;;;;;;;;;;;;;;;;;;;;
33189;173.0;401.0;19420.0;;;;;;;;;;;;;;;;;;;;;;;;
33190;;;;;;;;;;;;;;;;;;;;;;;;;;;
33191;217.0;525.0;18890.0;;;;;;;;;;;;;;;;;;;;;;;;
